Турнир,Дисциплина,Участник,Зачёт,Место,IDteam,Название,Город,Организация,Очки
bfii-02-2004,Абсолютный зачёт,КиК-02-2004,Общий,"9,5",,КиК,Иркутск,лицей №3,3
bfii-02-2004,Абсолютный зачёт,Весёлые ребята-02-2004,Общий,13,,Весёлые ребята,Иркутск,лицей №3,2
bfii-02-2004,Абсолютный зачёт,Сократ-02-2004,Общий,13,,Сократ,Иркутск,гимназия №44,2
bfii-02-2004,Абсолютный зачёт,IQ-02-2004,Общий,13,,IQ,Иркутск,школа №14,2
bfii-02-2004,Абсолютный зачёт,Братья по разуму-02-2004,Общий,"17,5",,Братья по разуму,Иркутск,,1
bfii-02-2004,Абсолютный зачёт,driver-02-2004,Общий,"17,5",,Драйвер,Иркутск,БГУЭП,1
bfii-02-2004,Абсолютный зачёт,КЭШ-02-2004,Общий,"17,5",,КЭШ,Иркутск,,1
bfii-02-2004,Абсолютный зачёт,Путин Юнген-02-2004,Общий,"17,5",,Путин Юнген,Иркутск,лицей №3,1
bfii-02-2004,Абсолютный зачёт,Статус-02-2004,Общий,"17,5",,Статус,Иркутск,школа №11,1
bfii-02-2004,Абсолютный зачёт,OK-02-2004,Общий,"17,5",,OK,Иркутск,школа №49,1
bfii-02-2004,Абсолютный зачёт,Эксперты-02-2004,Общий,21,,Эксперты,Иркутск,,0
bfii-03-2004,Абсолютный зачёт,arzamas-03-2004,Студенческий,1,2111,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,337
bfii-03-2004,Абсолютный зачёт,fort_ross-03-2004,Студенческий,2,,Форт-Росс,Иркутск,ИГУ,293
bfii-03-2004,Абсолютный зачёт,herodotus-03-2004,Студенческий,3,,Геродот,Иркутск,ИГУ,281
bfii-03-2004,Абсолютный зачёт,ЮИ ИГУ-03-2004,Студенческий,4,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,278
bfii-03-2004,Абсолютный зачёт,911-03-2004,Студенческий,5,,911,Иркутск,,262
bfii-03-2004,Абсолютный зачёт,driver-03-2004,Студенческий,6,,Драйвер,Иркутск,БГУЭП,236
bfii-03-2004,Абсолютный зачёт,Суфии-03-2004,Студенческий,7,,Суфии,Иркутск,ИФ РГТЭУ,222
bfii-03-2004,Абсолютный зачёт,Золотая молодёжь-03-2004,Студенческий,8,,Золотая молодёжь,Иркутск,БГИ,221
bfii-03-2004,Абсолютный зачёт,new_century-03-2004,Студенческий,9,,Новый век,Иркутск,,216
bfii-03-2004,Абсолютный зачёт,ГМП-03-2004,Студенческий,10,,ГМП,Иркутск,,211
bfii-03-2004,Абсолютный зачёт,Бизнес-лидер-03-2004,Студенческий,11,,Бизнес-лидер,Иркутск,ИрГУПС,193
bfii-03-2004,Абсолютный зачёт,Парабеллум-03-2004,Студенческий,12,,Парабеллум,Иркутск,ИГУ,189
bfii-03-2004,Абсолютный зачёт,Птица говорун-03-2004,Студенческий,13,,Птица говорун,Иркутск,БГУЭП,181
bfii-03-2004,Абсолютный зачёт,Международный факультет ИГУ-03-2004,Студенческий,14,,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,130
bfii-03-2004,Абсолютный зачёт,Матрица-03-2004,Студенческий,15,,Матрица,Иркутск,,50
bfii-03-2004,Абсолютный зачёт,irk_gymnasium_students-03-2004,Школьный,1,,Иркутские гимназисты,Иркутск,гимназия №3,236
bfii-03-2004,Абсолютный зачёт,Сократ-03-2004,Школьный,2,,Сократ,Иркутск,гимназия №44,204
bfii-03-2004,Абсолютный зачёт,Тяжёлый случай-03-2004,Школьный,3,,Тяжёлый случай,Иркутск,лицей №2,203
bfii-03-2004,Абсолютный зачёт,IQ-03-2004,Школьный,4,,IQ,Иркутск,лицей №2,190
bfii-03-2004,Абсолютный зачёт,Ума.НЕТ-03-2004,Школьный,5,,Ума.НЕТ,Иркутск,православная женская гимназия,179
bfii-03-2004,Абсолютный зачёт,Гротеск-03-2004,Школьный,6,,Гротеск,Иркутск,школа №11,178
bfii-03-2004,Абсолютный зачёт,Юная золотая молодёжь-03-2004,Школьный,7,,Юная золотая молодёжь,Иркутск,БКПП,177
bfii-03-2004,Абсолютный зачёт,Перекрёсток-03-2004,Школьный,8,,Перекрёсток,Иркутск,школа №26,177
bfii-03-2004,Абсолютный зачёт,Улетевшие-03-2004,Школьный,9,,Улетевшие,Иркутск,Иркутский авиационный техникум,172
bfii-03-2004,Абсолютный зачёт,65.ру-03-2004,Школьный,"10,5",,65.ру,Иркутск,школа №65,171
bfii-03-2004,Абсолютный зачёт,Симпомпули-03-2004,Школьный,"10,5",,Симпомпули,Иркутск,школа №26,171
bfii-03-2004,Абсолютный зачёт,LIM-03-2004,Школьный,12,,LIM,Иркутск,лицей №2,153
bfii-03-2004,Абсолютный зачёт,СНГ-03-2004,Школьный,13,,СНГ,Иркутск,гимназия №25,152
bfii-03-2004,Абсолютный зачёт,Кредо-03-2004,Школьный,14,,Кредо,Иркутск,школа №11,144
bfii-03-2004,Абсолютный зачёт,Империя знаний-03-2004,Школьный,15,,Империя знаний,Иркутск,лицей №2,143
bfii-03-2004,Абсолютный зачёт,Статус-03-2004,Школьный,16,,Статус,Иркутск,школа №11,142
bfii-03-2004,Абсолютный зачёт,Знатоки-03-2004,Школьный,17,,Знатоки,Иркутск,школа №10,141
bfii-03-2004,Абсолютный зачёт,Антиинтеллект-03-2004,Школьный,18,,Антиинтеллект,Иркутск,школа №17,125
bfii-03-2004,Абсолютный зачёт,Виктория-03-2004,Школьный,19,,Виктория,Иркутск,школа №66,123
bfii-03-2004,Абсолютный зачёт,OK-03-2004,Школьный,20,,OK,Иркутск,школа №49,114
bfii-03-2004,Абсолютный зачёт,Баунти-03-2004,Школьный,21,,Баунти,Иркутск,школа №66,86
brain-01-2002,Брейн-ринг,driver-01-2002,Общий,1,,Драйвер,Иркутск,БГУЭП,
brain-01-2002,Брейн-ринг,ilic-children-01-2002,Общий,2,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,
brain-01-2002,Брейн-ринг,Интеллект-01-2002,Общий,3,,Интеллект,Тайшет,,
brain-01-2002,Брейн-ринг,6.com-01-2002,Общий,7,,6.com,Иркутск,школа №26,
brain-01-2002,Брейн-ринг,Адреналин-01-2002,Общий,7,,Адреналин,Иркутск,БГУЭП,
brain-01-2002,Брейн-ринг,Антанта-01-2002,Общий,7,,Антанта,Иркутск,,
brain-01-2002,Брейн-ринг,Бумеранг-01-2002,Общий,7,,Бумеранг,Иркутск,школа №6,
brain-01-2002,Брейн-ринг,Клэвэры-01-2002,Общий,7,,Клэвэры,Иркутск,БГУЭП,
brain-01-2002,Брейн-ринг,new_century-01-2002,Общий,7,,Новый век,Иркутск,школа №11,
brain-01-2002,Брейн-ринг,Суфии-01-2002,Общий,7,,Суфии,Иркутск,ИФ РГЭУ,
brain-01-2002,Брейн-ринг,911-01-2002,Общий,22,,911,Иркутск,,
brain-01-2002,Брейн-ринг,БудуШел-01-2002,Общий,22,,БудуШел,Шелехов,школа №4,
brain-01-2002,Брейн-ринг,Гимли-01-2002,Общий,22,,Гимли,Иркутск,гимназия №1,
brain-01-2002,Брейн-ринг,ГМП-01-2002,Общий,22,,ГМП,Иркутск,Городской молодёжный парламент,
brain-01-2002,Брейн-ринг,Дружба-01-2002,Общий,22,,Дружба,Иркутск,гимназия №2,
brain-01-2002,Брейн-ринг,Иркутские гимназисты-01-2002,Общий,22,,Иркутские гимназисты,Иркутск,гимназия №3,
brain-01-2002,Брейн-ринг,КоМПООТ-01-2002,Общий,22,,КоМПООТ,Иркутск,БГУЭП,
brain-01-2002,Брейн-ринг,Кредо-01-2002,Общий,22,,Кредо,Иркутск,школа №11,
brain-01-2002,Брейн-ринг,Ликон-01-2002,Общий,22,,Ликон,Усолье-Сибирское,лицей№1,
brain-01-2002,Брейн-ринг,Лингва-01-2002,Общий,22,,Лингва,Иркутск,ИГЛУ,
brain-01-2002,Брейн-ринг,Мир ФСН-01-2002,Общий,22,,Мир ФСН,Иркутск,,
brain-01-2002,Брейн-ринг,Мозговая атака-01-2002,Общий,22,,Мозговая атака,Иркутск,ВСИЭП,
brain-01-2002,Брейн-ринг,Мозгоdеды-01-2002,Общий,22,,Мозгоdеды,Иркутск,Лицей№3,
brain-01-2002,Брейн-ринг,Ника-01-2002,Общий,22,,Ника,Иркутск,,
brain-01-2002,Брейн-ринг,Ника-01-2002,Общий,22,,Ника,Иркутск,школа №62,
brain-01-2002,Брейн-ринг,Новый NEXT-01-2002,Общий,22,,Новый NEXT,Иркутск,школа №35,
brain-01-2002,Брейн-ринг,Статус-01-2002,Общий,22,,Статус,Иркутск,школа №11,
brain-01-2002,Брейн-ринг,Сюрприз-01-2002,Общий,22,,Сюрприз,Иркутск,школа №22,
brain-01-2002,Брейн-ринг,fort_ross-01-2002,Общий,22,,Форт-Росс,Иркутск,,
brain-01-2002,Брейн-ринг,Школа №17-01-2002,Общий,22,,Школа №17,Иркутск,школа №17,
brain-01-2002,Брейн-ринг,ЮИ ИГУ-01-2002,Общий,22,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,
brain-01-2002,Брейн-ринг,NEXT-01-2002,Общий,22,,NEXT,Иркутск,школа №11,
brain-01-2002,Брейн-ринг,OK-01-2002,Общий,22,,OK,Иркутск,школа №49,
brain-02-2004,Брейн-ринг,911-02-2004,Общий,1,,911,Иркутск,,
brain-02-2004,Брейн-ринг,Уникум-Юниор-02-2004,Общий,2,,Уникум-Юниор,Иркутск,ИрГУПС,
brain-02-2004,Брейн-ринг,Гиганты мысли-02-2004,Общий,"5,5",,Гиганты мысли,Иркутск,,
brain-02-2004,Брейн-ринг,Девчонки-хохотушки-02-2004,Общий,"5,5",,Девчушки-хохотушки,Иркутск,Православная женская гимназия,
brain-02-2004,Брейн-ринг,ilic-children-02-2004,Общий,"5,5",2194,Дети Ильича,Иркутск,исторический факультет ИГУ,
brain-02-2004,Брейн-ринг,Матрица-02-2004,Общий,"5,5",,Матрица,Иркутск,,
brain-02-2004,Брейн-ринг,fort_ross-02-2004,Общий,"5,5",,Форт-Росс,Иркутск,,
brain-02-2004,Брейн-ринг,IQ-02-2004,Общий,"5,5",,IQ,Иркутск,школа №14,
brain-02-2004,Брейн-ринг,Авангард-02-2004,Общий,18,,Авангард,Иркутск,лицей №3,
brain-02-2004,Брейн-ринг,Арсенал-02-2004,Общий,18,,Арсенал,Иркутск,школа №75,
brain-02-2004,Брейн-ринг,Братья по разуму-02-2004,Общий,18,,Братья по разуму,Иркутск,,
brain-02-2004,Брейн-ринг,Весёлые ребята-02-2004,Общий,18,,Весёлые ребята,Иркутск,лицей №3,
brain-02-2004,Брейн-ринг,driver-02-2004,Общий,18,,Драйвер,Иркутск,БГУЭП,
brain-02-2004,Брейн-ринг,Импульс-02-2004,Общий,18,,Импульс,Иркутск,школа №31,
brain-02-2004,Брейн-ринг,КиК-02-2004,Общий,18,,КиК,Иркутск,лицей №3,
brain-02-2004,Брейн-ринг,КЭШ-02-2004,Общий,18,,КЭШ,Иркутск,,
brain-02-2004,Брейн-ринг,Мамонты-02-2004,Общий,18,,Мамонты,Иркутск,лицей №3,
brain-02-2004,Брейн-ринг,new_century-02-2004,Общий,18,,Новый век,Иркутск,школа №11,
brain-02-2004,Брейн-ринг,Парабеллум-02-2004,Общий,18,,Парабеллум,Иркутск,,
brain-02-2004,Брейн-ринг,Путин Юнген-02-2004,Общий,18,,Путин Юнген,Иркутск,лицей №3,
brain-02-2004,Брейн-ринг,Сегодня была победа-02-2004,Общий,18,,Сегодня была победа,Иркутск,,
brain-02-2004,Брейн-ринг,Скептики-02-2004,Общий,18,,Скептики,Иркутск,БГУЭП,
brain-02-2004,Брейн-ринг,Сократ-02-2004,Общий,18,,Сократ,Иркутск,гимназия №44,
brain-02-2004,Брейн-ринг,Статус-02-2004,Общий,18,,Статус,Иркутск,школа №11,
brain-02-2004,Брейн-ринг,Флибустьеры-02-2004,Общий,18,,Флибустьеры,Иркутск,,
brain-02-2004,Брейн-ринг,Эксперты-02-2004,Общий,18,,Эксперты,Иркутск,,
brain-02-2004,Брейн-ринг,OK-02-2004,Общий,18,,OK,Иркутск,школа №49,
brain-03-2004,Брейн-ринг,herodotus-03-2004,Студенческий,1,,Геродот,Иркутск,исторический факультет ИГУ ,
brain-03-2004,Брейн-ринг,Золотая молодёжь-03-2004,Студенческий,2,,Золотая молодёжь,Иркутск,БГИ,
brain-03-2004,Брейн-ринг,911-03-2004,Студенческий,"4,5",,911,Иркутск,,
brain-03-2004,Брейн-ринг,arzamas-03-2004,Студенческий,"4,5",2111,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,
brain-03-2004,Брейн-ринг,Бизнес-лидер-03-2004,Студенческий,"4,5",,Бизнес-лидер,Иркутск,ИрГУПС,
brain-03-2004,Брейн-ринг,fort_ross-03-2004,Студенческий,"4,5",,Форт-Росс,Иркутск,ИГУ,
brain-03-2004,Брейн-ринг,ГМП-03-2004,Студенческий,"10,5",,ГМП,Иркутск,,0
brain-03-2004,Брейн-ринг,driver-03-2004,Студенческий,"10,5",,Драйвер,Иркутск,БГУЭП,0
brain-03-2004,Брейн-ринг,Международный факультет ИГУ-03-2004,Студенческий,"10,5",,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,0
brain-03-2004,Брейн-ринг,new_century-03-2004,Студенческий,"10,5",,Новый век,Иркутск,,0
brain-03-2004,Брейн-ринг,Парабеллум-03-2004,Студенческий,"10,5",,Парабеллум,Иркутск,ИГУ,0
brain-03-2004,Брейн-ринг,Птица говорун-03-2004,Студенческий,"10,5",,Птица говорун,Иркутск,БГУЭП,0
brain-03-2004,Брейн-ринг,Суфии-03-2004,Студенческий,"10,5",,Суфии,Иркутск,ИФ РГТЭУ,0
brain-03-2004,Брейн-ринг,ЮИ ИГУ-03-2004,Студенческий,"10,5",,ЮИ ИГУ,Иркутск,ЮИ ИГУ,0
brain-03-2004,Брейн-ринг,Сократ-03-2004,Школьный,1,,Сократ,Иркутск,гимназия №44,
brain-03-2004,Брейн-ринг,Улетевшие-03-2004,Школьный,2,,Улетевшие,Иркутск,Иркутский авиационный техникум,
brain-03-2004,Брейн-ринг,65.ру-03-2004,Школьный,5,,65.ру,Иркутск,школа №65,
brain-03-2004,Брейн-ринг,Империя знаний-03-2004,Школьный,5,,Империя знаний,Иркутск,лицей №2,
brain-03-2004,Брейн-ринг,irk_gymnasium_students-03-2004,Школьный,5,,Иркутские гимназисты,Иркутск,гимназия №3,
brain-03-2004,Брейн-ринг,СНГ-03-2004,Школьный,5,,СНГ,Иркутск,гимназия №25,
brain-03-2004,Брейн-ринг,Тяжёлый случай-03-2004,Школьный,5,,Тяжёлый случай,Иркутск,лицей №2,
brain-03-2004,Брейн-ринг,Антиинтеллект-03-2004,Школьный,14,,Антиинтеллект,Иркутск,школа №17,
brain-03-2004,Брейн-ринг,Баунти-03-2004,Школьный,14,,Баунти,Иркутск,школа №66,
brain-03-2004,Брейн-ринг,Виктория-03-2004,Школьный,14,,Виктория,Иркутск,школа №66,
brain-03-2004,Брейн-ринг,Гротеск-03-2004,Школьный,14,,Гротеск,Иркутск,школа №11,
brain-03-2004,Брейн-ринг,Знатоки-03-2004,Школьный,14,,Знатоки,Иркутск,школа №10,
brain-03-2004,Брейн-ринг,Кредо-03-2004,Школьный,14,,Кредо,Иркутск,школа №11,
brain-03-2004,Брейн-ринг,Перекрёсток-03-2004,Школьный,14,,Перекрёсток,Иркутск,школа №26,
brain-03-2004,Брейн-ринг,Симпомпули-03-2004,Школьный,14,,Симпомпули,Иркутск,школа №26,
brain-03-2004,Брейн-ринг,Статус-03-2004,Школьный,14,,Статус,Иркутск,школа №11,
brain-03-2004,Брейн-ринг,Ума.НЕТ-03-2004,Школьный,14,,Ума.НЕТ,Иркутск,православная женская гимназия,
brain-03-2004,Брейн-ринг,Юная золотая молодёжь-03-2004,Школьный,14,,Юная золотая молодёжь,Иркутск,БКПП,
brain-03-2004,Брейн-ринг,IQ-03-2004,Школьный,14,,IQ,Иркутск,лицей №2,
brain-03-2004,Брейн-ринг,LIM-03-2004,Школьный,14,,LIM,Иркутск,лицей №2,
brain-03-2004,Брейн-ринг,OK-03-2004,Школьный,14,,OK,Иркутск,школа №49,
chgk-01-2002,Большая игра,ilic-children-01-2002,Общий,1,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,12
chgk-01-2002,Большая игра,911-01-2002,Общий,"2,5",,911,Иркутск,,10
chgk-01-2002,Большая игра,fort_ross-01-2002,Общий,"2,5",,Форт-Росс,Иркутск,,10
chgk-01-2002,Большая игра,driver-01-2002,Общий,4,,Драйвер,Иркутск,БГУЭП,9
chgk-01-2002,Большая игра,Адреналин-01-2002,Общий,6,,Адреналин,Иркутск,БГУЭП,7
chgk-01-2002,Большая игра,Антанта-01-2002,Общий,6,,Антанта,Иркутск,,7
chgk-01-2002,Большая игра,Клэвэры-01-2002,Общий,6,,Клэвэры,Иркутск,БГУЭП,7
chgk-01-2002,Большая игра,Гимли-01-2002,Общий,9,,Гимли,Иркутск,гимназия №1,6
chgk-01-2002,Большая игра,Ликон-01-2002,Общий,9,,Ликон,Усолье-Сибирское,лицей№1,6
chgk-01-2002,Большая игра,new_century-01-2002,Общий,9,,Новый век,Иркутск,школа №11,6
chgk-01-2002,Большая игра,Интеллект-01-2002,Общий,"12,5",,Интеллект,Тайшет,,5
chgk-01-2002,Большая игра,Лингва-01-2002,Общий,"12,5",,Лингва,Иркутск,ИГЛУ,5
chgk-01-2002,Большая игра,nica-01-2002,Общий,"12,5",,Ника,Иркутск,,5
chgk-01-2002,Большая игра,Суфии-01-2002,Общий,"12,5",,Суфии,Иркутск,ИФ РГЭУ,5
chgk-01-2002,Большая игра,Мозговая атака-01-2002,Общий,15,,Мозговая атака,Иркутск,ВСИЭП,1
chgk-02-2004,Большая игра,fort_ross-02-2004,Общий,1,,Форт-Росс,Иркутск,ИГУ ,5
chgk-02-2004,Большая игра,Матрица-02-2004,Общий,3,,Матрица,Иркутск,,4
chgk-02-2004,Большая игра,Сегодня была победа-02-2004,Общий,3,,Сегодня была победа,Иркутск,,4
chgk-02-2004,Большая игра,Скептики-02-2004,Общий,3,,Скептики,Иркутск,БГУЭП,4
chgk-02-2004,Большая игра,Авангард-02-2004,Общий,6,,Авангард,Иркутск,лицей №3,3
chgk-02-2004,Большая игра,ilic-children-02-2004,Общий,6,2194,Дети Ильича,Иркутск,исторический факультет ИГУ,3
chgk-02-2004,Большая игра,КиК-02-2004,Общий,6,,КиК,Иркутск,лицей №3,3
chgk-02-2004,Большая игра,911-02-2004,Общий,"9,5",,911,Иркутск,,2
chgk-02-2004,Большая игра,Весёлые ребята-02-2004,Общий,"9,5",,Весёлые ребята,Иркутск,лицей №3,2
chgk-02-2004,Большая игра,Гиганты мысли-02-2004,Общий,"9,5",,Гиганты мысли,Иркутск,,2
chgk-02-2004,Большая игра,Уникум-Юниор-02-2004,Общий,"9,5",,Уникум-Юниор,Иркутск,ИрГУПС,2
chgk-02-2004,Большая игра,Братья по разуму-02-2004,Общий,15,,Братья по разуму,Иркутск,,1
chgk-02-2004,Большая игра,КЭШ-02-2004,Общий,15,,КЭШ,Иркутск,,1
chgk-02-2004,Большая игра,Путин Юнген-02-2004,Общий,15,,Путин Юнген,Иркутск,лицей №3,1
chgk-02-2004,Большая игра,Сократ-02-2004,Общий,15,,Сократ,Иркутск,гимназия №44,1
chgk-02-2004,Большая игра,Статус-02-2004,Общий,15,,Статус,Иркутск,школа №11,1
chgk-02-2004,Большая игра,IQ-02-2004,Общий,15,,IQ,Иркутск,школа №14,1
chgk-02-2004,Большая игра,OK-02-2004,Общий,15,,OK,Иркутск,школа №49,1
chgk-03-2004,Большая игра,arzamas-03-2004,Общий,"1,5",2111,Арзамас-2004,Иркутск,ИГУ,9
chgk-03-2004,Большая игра,fort_ross-03-2004,Общий,"1,5",,Форт-Росс,Иркутск,ИГУ,9
chgk-03-2004,Большая игра,herodotus-03-2004,Общий,4,,Геродот,Иркутск,ИГУ,7
chgk-03-2004,Большая игра,irk_gymnasium_students-03-2004,Общий,4,,Иркутские гимназисты,Иркутск,гимназия №3,7
chgk-03-2004,Большая игра,Суфии-03-2004,Общий,4,,Суфии,Иркутск,ИФ РГТЭУ,7
chgk-03-2004,Большая игра,arzamas-03-2004,Студенческий,"1,5",2111,Арзамас-2004,Иркутск,факультет филологии и журналистики ИГУ ,9
chgk-03-2004,Большая игра,fort_ross-03-2004,Студенческий,"1,5",,Форт-Росс,Иркутск,ИГУ,9
chgk-03-2004,Большая игра,herodotus-03-2004,Студенческий,"3,5",,Геродот,Иркутск,ИГУ,7
chgk-03-2004,Большая игра,Суфии-03-2004,Студенческий,"3,5",,Суфии,Иркутск,ИФ РГТЭУ,7
chgk-03-2004,Большая игра,911-03-2004,Студенческий,7,,911,Иркутск,,6
chgk-03-2004,Большая игра,ГМП-03-2004,Студенческий,7,,ГМП,Иркутск,,6
chgk-03-2004,Большая игра,driver-03-2004,Студенческий,7,,Драйвер,Иркутск,БГУЭП,6
chgk-03-2004,Большая игра,new_century-03-2004,Студенческий,7,,Новый век,Иркутск,,6
chgk-03-2004,Большая игра,Птица говорун-03-2004,Студенческий,7,,Птица говорун,Иркутск,БГУЭП,6
chgk-03-2004,Большая игра,Золотая молодёжь-03-2004,Студенческий,11,,Золотая молодёжь,Иркутск,БГИ,5
chgk-03-2004,Большая игра,Матрица-03-2004,Студенческий,11,,Матрица,Иркутск,,5
chgk-03-2004,Большая игра,ЮИ ИГУ-03-2004,Студенческий,11,,ЮИ ИГУ,Иркутск,ЮИ ИГУ,5
chgk-03-2004,Большая игра,Бизнес-лидер-03-2004,Студенческий,13,,Бизнес-лидер,Иркутск,ИрГУПС,4
chgk-03-2004,Большая игра,Международный факультет ИГУ-03-2004,Студенческий,"14,5",,Международный факультет ИГУ,Иркутск,Международный факультет ИГУ,3
chgk-03-2004,Большая игра,Парабеллум-03-2004,Студенческий,"14,5",,Парабеллум,Иркутск,ИГУ,3
chgk-03-2004,Большая игра,Тяжёлый случай-03-2004,Школьный,3,,Тяжёлый случай,Иркутск,лицей №2,6
chgk-03-2004,Большая игра,Юная золотая молодёжь-03-2004,Школьный,3,,Юная золотая молодёжь,Иркутск,БКПП,6
chgk-03-2004,Большая игра,IQ-03-2004,Школьный,3,,IQ,Иркутск,лицей №2,6
chgk-03-2004,Большая игра,irk_gymnasium_students-03-2004,Школьный,4,,Иркутские гимназисты,Иркутск,гимназия №3,7
chgk-03-2004,Большая игра,Ума.НЕТ-03-2004,Школьный,5,,Ума.НЕТ,Иркутск,православная женская гимназия,5
